 Ano, Código da IES, Nome da IES, Sigla da IES, Organização Acadêmica, Categoria Administrativa, Código do Curso, Código da Área, Área de Avaliação, Modalidade de Ensino, Código do Município, Município do Curso, Sigla da UF, Nº de Concluintes Inscritos, Nº de Concluintes Participantes, Nota Bruta - FG, Nota Padronizada - FG, Nota Bruta - CE, Nota Padronizada - CE, Conceito Enade (Contínuo), Concluintes participantes com nota no Enem, Proporção de concluintes participantes com nota no Enem, Nota Bruta - IDD, Nota Padronizada - IDD, Nota Bruta – Organização Didático-Pedagógica, Nota Padronizada - Organização Didático-Pedagógica, Nota Bruta – Infraestrutura e Instalações Físicas, Nota Padronizada - Infraestrutura e Instalações Físicas, Nota Bruta – Oportunidade de Ampliação da Formação, Nota Padronizada - Oportunidade de Ampliação da Formação, Nota Bruta - Mestres, Nota Padronizada - Mestres, Nota Bruta - Doutores, Nota Padronizada - Doutores, Nota Bruta – Regime de Trabalho, Nota Padronizada - Regime de Trabalho, CPC (Contínuo), CPC (Faixa),Entidade Beneficiente de Assistência Social (CEBAS)
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,3,5710,ENGENHARIA CIVIL,Educação Presencial,5103403,Cuiabá,MT,33,31,"60,93548387","3,939283693","59,1516129","4,490015307","4,352",31,1,"7,439649618","4,207","3,42495927012056",0,"3,70973381457252","0,019","3,10322580645161","0,682","0,840909090909091","3,33","0,590909090909091","2,955",1,5,"3,429",4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,9,17,AGRONOMIA,Educação Presencial,5103403,Cuiabá,MT,42,36,"56,01388889","3,972046777","60,475","3,779159724","3,827",35,"0,972222222","2,772555648","3,316","4,674654710369","0,954","4,43824231324231","1,466","4,35714285714286","2,143","0,955882352941177","4,206","0,897058823529412","4,449",1,5,"3,482",4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,10,6405,ENGENHARIA FLORESTAL,Educação Presencial,5103403,Cuiabá,MT,13,11,"59,96363636","4,563992521","40,94545455","2,177520815","2,774",11,1,"0,288870663","2,658","4,78643578643579","1,333","4,89058857808858","2,431","4,59444444444445","2,468","0,944444444444444","3,389","0,925925925925926","4,444",1,5,"3,064",4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,12,12,MEDICINA,Educação Presencial,5103403,Cuiabá,MT,78,78,"73,05128205","4,034586731","68,23076923","3,310907914","3,492",76,"0,974358974","-1,136657718","1,934","5,23028691294945","2,925","5,22088488434642","3,326","4,88931623931624","3,153","0,722222222222222","3,043","0,490740740740741","2,324",1,5,"2,792",3,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,16,5806,ENGENHARIA ELÉTRICA,Educação Presencial,5103403,Cuiabá,MT,28,23,"56,86521739","3,443126921","49,39130435","4,425191816","4,18",10,"0,434782609","3,720816543","4,404","4,97581158282913","2,928","5,09164292497626","3,206","4,94506172839506","3,523","0,978723404255319","4,681","0,893617021276596","4,468",1,5,"4,242",5,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,17,23,ENFERMAGEM,Educação Presencial,5103403,Cuiabá,MT,46,43,"57,04418605","3,653900937","66,41395349","3,910117772","3,846",43,1,"4,120643784","3,562","5,2556178669815","2,62","4,81696333969061","2,173","4,86174242424242","3,143","0,938775510204082","4,475","0,897959183673469","4,49",1,5,"3,784",4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,20,28,NUTRIÇÃO,Educação Presencial,5103403,Cuiabá,MT,27,27,"58,83333333","4,10485211","59,05555556","3,945435521","3,985",27,1,"0,990889144","3,023","4,87339204005871","1,883","4,83357075023742","2,114","4,55925925925926","2,87","0,956521739130435","4,457","0,782608695652174","3,913",1,5,"3,47",4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,37,5,MEDICINA VETERINÁRIA,Educação Presencial,5103403,Cuiabá,MT,23,21,"56,51904762","3,513451634","56,70952381","3,627752206","3,599",21,1,"-0,799460565","2,08","4,62423796645765","1,455","4,60063849194284","2,045","4,23913043478261","2,293","0,954545454545455","4,318","0,931818181818182","4,621",1,5,"3,109",4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,44,21,ARQUITETURA E URBANISMO,Educação Presencial,5103403,Cuiabá,MT,30,25,"65,824","4,064420651","69,536","4,233084853","4,191",24,"0,96","1,914345033","3,488","5,1396555652454","2,64","4,29909171288482","1,396","4,85057471264368","3,44","0,888888888888889","3,75","0,583333333333333","2,917",1,5,"3,507",4,-
2023,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,132,21,ARQUITETURA E URBANISMO,Educação Presencial,5300108,Brasília,DF,163,135,"67,2762963","4,251666656","69,46592593","4,22433254","4,231",127,"0,940740741","3,421481321","4,144","5,31118959835638","3,111","5,02452169043078","2,933","5,20454545454545","3,92","0,993074792243767","4,922","0,900277008310249","4,501",1,5,"4,194",5,-
