Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa**,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Total Concluinte Acima do Padrão,Percentual Concluintes Acima do Padrão,Conceito Enade (Faixa),CEBAS
2025,12,MEDICINA,Bacharelado,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,12,Educação Presencial,5103403,Cuiabá,MT,75,75,64,"0,853",4,NÃO
2025,12,MEDICINA,Bacharelado,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,140,Educação Presencial,5300108,Brasília,DF,102,99,87,"0,879",4,NÃO
2025,12,MEDICINA,Bacharelado,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,303,Educação Presencial,2800308,Aracaju,SE,48,47,44,"0,936",5,NÃO
2025,12,MEDICINA,Bacharelado,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,389,Educação Presencial,1302603,Manaus,AM,115,115,72,"0,626",3,NÃO
2025,12,MEDICINA,Bacharelado,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,484,Educação Presencial,2211001,Teresina,PI,28,28,24,"0,857",4,NÃO
2025,12,MEDICINA,Bacharelado,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,758,Educação Presencial,4113700,Londrina,PR,82,82,70,"0,854",4,NÃO
2025,12,MEDICINA,Bacharelado,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Comunitária/Confessional,868,Educação Presencial,4106902,Curitiba,PR,187,186,166,"0,892",4,SIM
2025,12,MEDICINA,Bacharelado,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pública Federal,1026,Educação Presencial,4315602,Rio Grande,RS,71,69,58,"0,841",4,NÃO
2025,12,MEDICINA,Bacharelado,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Comunitária/Confessional,1107,Educação Presencial,4305108,Caxias do Sul,RS,109,105,83,"0,79",4,NÃO
2025,12,MEDICINA,Bacharelado,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pública Federal,1439,Educação Presencial,3170206,Uberlândia,MG,125,124,112,"0,903",5,NÃO
2025,12,MEDICINA,Bacharelado,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Universidade,Comunitária/Confessional,1518,Educação Presencial,4314407,Pelotas,RS,163,163,114,"0,699",3,SIM
2025,12,MEDICINA,Bacharelado,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Universidade,Comunitária/Confessional,1629,Educação Presencial,3509502,Campinas,SP,119,119,95,"0,798",4,SIM
2025,12,MEDICINA,Bacharelado,20,UNIVERSIDADE DE PASSO FUNDO,UPF,Universidade,Comunitária/Confessional,1725,Educação Presencial,4314100,Passo Fundo,RS,99,99,83,"0,838",4,SIM
2025,12,MEDICINA,Bacharelado,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Universidade,Comunitária/Confessional,1879,Educação Presencial,4314902,Porto Alegre,RS,114,111,104,"0,937",5,SIM
2025,12,MEDICINA,Bacharelado,30,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Universidade,Privada sem fins lucrativos,2304,Educação Presencial,3101607,Alfenas,MG,165,165,108,"0,655",3,NÃO
2025,12,MEDICINA,Bacharelado,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Universidade,Pública Estadual,2348,Educação Presencial,2704302,Maceió,AL,51,51,39,"0,765",4,NÃO
2025,12,MEDICINA,Bacharelado,38,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,Universidade,Pública Estadual,2392,Educação Presencial,1501402,Belém,PA,96,81,68,"0,84",4,NÃO
2025,12,MEDICINA,Bacharelado,54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Universidade,Pública Estadual,2695,Educação Presencial,3509502,Campinas,SP,118,118,113,"0,958",5,NÃO
2025,12,MEDICINA,Bacharelado,55,UNIVERSIDADE DE SÃO PAULO,USP,Universidade,Pública Estadual,2918,Educação Presencial,3550308,São Paulo,SP,173,172,170,"0,988",5,NÃO
2025,12,MEDICINA,Bacharelado,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,3148,Educação Presencial,3507506,Botucatu,SP,90,89,82,"0,921",5,NÃO
2025,12,MEDICINA,Bacharelado,57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Universidade,Pública Estadual,3418,Educação Presencial,4115200,Maringá,PR,40,40,36,"0,9",5,NÃO
2025,12,MEDICINA,Bacharelado,76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Universidade,Especial,3677,Educação Presencial,4202404,Blumenau,SC,82,82,50,"0,61",3,NÃO
2025,12,MEDICINA,Bacharelado,93,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,Faculdade,Pública Municipal,4082,Educação Presencial,3525904,Jundiaí,SP,117,116,112,"0,966",5,NÃO
2025,12,MEDICINA,Bacharelado,140,UNIVERSIDADE DE VASSOURAS,UNIVASSOURAS,Universidade,Privada sem fins lucrativos,4503,Educação Presencial,3306206,Vassouras,RJ,298,296,218,"0,736",3,NÃO
